manage_no,lamp_addr,depth1,depth2,main_addr_no,sub_addr_no,latitude,longitude
가락지하차도-01,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-02,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-03,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-04,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-05,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-06,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-07,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-08,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-09,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-10,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-11,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-12,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-13,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-14,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-15,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-16,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-17,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-18,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-19,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가락지하차도-20,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
가마산고가차도-01,서울 구로구 구로동 413-2,서울,구로구,413,2,37.593994,126.801866
가마산고가차도-02,서울 구로구 구로동 413-2,서울,구로구,413,2,37.593994,126.801866
가마산고가차도-03,서울 구로구 구로동 414-13,서울,구로구,414,13,37.593994,126.801866
